code_etudiant,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,result,type
1172,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,NonPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,NonPassionne,Dropout,app
1173,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,NonPassionne,Fail,app
1174,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,NonPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,NonPassionne,Dropout,test
1175,MoyPassionne,MoyPassionne,MoyPassionne,TPassionne,TPassionne,TPassionne,MoyPassionne,TPassionne,TPassionne,MoyPassionne,TPassionne,MoyPassionne,TPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,TPassionne,MoyPassionne,TPassionne,MoyPassionne,TPassionne,TPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,TPassionne,TPassionne,Pass,app
1176,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,NonPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,NonPassionne,Dropout,app
1177,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,Dropout,app
1178,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,MoyPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,Fail,app
1179,TPassionne,TPassionne,TPassionne,TPassionne,TPassionne,TPassionne,PeuPassionne,TPassionne,TPassionne,TPassionne,TPassionne,TPassionne,TPassionne,TPassionne,TPassionne,TPassionne,TPassionne,PeuPassionne,TPassionne,TPassionne,TPassionne,TPassionne,TPassionne,TPassionne,TPassionne,PeuPassionne,TPassionne,TPassionne,TPassionne,TPassionne,Pass,app
1180,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,NonPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,NonPassionne,Dropout,app
1181,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,NonPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,NonPassionne,Dropout,app
