code_etudiant,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,result,type
1703,PeuIntense,FaibleIntense,PeuIntense,PeuIntense,FaibleIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,Dropout,app
1704,PeuIntense,MoyIntense,PeuIntense,PeuIntense,FaibleIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,Dropout,app
1705,PeuIntense,FaibleIntense,FaibleIntense,FaibleIntense,FaibleIntense,FaibleIntense,MoyIntense,FaibleIntense,PeuIntense,PeuIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,PeuIntense,MoyIntense,MoyIntense,TIntense,TIntense,PeuIntense,PeuIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,PeuIntense,Pass,app
1706,TIntense,PeuIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,TIntense,TIntense,TIntense,TIntense,MoyIntense,TIntense,TIntense,MoyIntense,PeuIntense,MoyIntense,TIntense,TIntense,TIntense,TIntense,MoyIntense,TIntense,TIntense,MoyIntense,Intense,Intense,MoyIntense,PeuIntense,Pass,app
1707,PeuIntense,MoyIntense,MoyIntense,MoyIntense,TIntense,FaibleIntense,MoyIntense,FaibleIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,MoyIntense,MoyIntense,PeuIntense,MoyIntense,MoyIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,Pass,app
1708,MoyIntense,TIntense,TIntense,TIntense,TIntense,MoyIntense,MoyIntense,MoyIntense,TIntense,Intense,TIntense,TIntense,TIntense,TIntense,TIntense,TIntense,TIntense,MoyIntense,MoyIntense,TIntense,TIntense,TIntense,TIntense,TIntense,MoyIntense,MoyIntense,TIntense,TIntense,TIntense,TIntense,Pass,app
1709,MoyIntense,MoyIntense,PeuIntense,TIntense,MoyIntense,MoyIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,TPeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,MoyIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,Intense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,Pass,app
1710,MoyIntense,TIntense,TIntense,TIntense,MoyIntense,MoyIntense,MoyIntense,TIntense,TIntense,TIntense,MoyIntense,TIntense,TIntense,TIntense,TIntense,TIntense,TIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,PeuIntense,MoyIntense,Pass,app
1711,MoyIntense,FaibleIntense,PeuIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,Pass,app
1712,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,Dropout,app
1713,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,FaibleIntense,Dropout,app
1714,MoyIntense,MoyIntense,PeuIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,MoyIntense,MoyIntense,PeuIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,TIntense,Pass,app
