code_etudiant,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,result
1955,1262.1889999999999,122.951,75.13199999999999,142.145,89.07,134.528,10.4,170.926,116.535,79.465,151.44,53.259,197.499,134.326,158.38799999999998,61.38499999999999,81.181,10.4,250.72799999999998,140.02999999999997,173.168,119.85000000000001,49.543,120.15299999999999,134.765,10.4,45.287,49.126000000000005,97.72,286.993,Pass
1956,64.53,60.20900000000001,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,136.892,Dropout
1957,1495.1470000000002,128.518,111.594,256.437,85.55,166.913,7.8,134.718,130.12,77.349,76.492,76.503,129.35899999999998,57.568,42.453,83.246,7.8,7.8,153.823,48.56699999999999,42.723,7.8,33.259,7.8,7.8,7.8,7.8,73.217,54.634,218.141,Fail
1958,254.799,74.354,97.48,54.142,77.48,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,Dropout
1959,54.417,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,Dropout
1960,159.767,61.401,58.342,7.8,50.567,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,138.667,Dropout
1961,55.242000000000004,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,Dropout
1962,248.698,94.20100000000001,10.4,65.005,70.527,10.4,10.4,10.4,58.817,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,Fail
1963,54.417,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,Dropout
1964,54.417,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,Dropout
1965,54.417,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,Dropout
1966,54.417,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,Dropout
1967,4309.037,179.495,139.993,224.498,128.027,236.628,10.4,269.505,382.25699999999995,145.696,261.37399999999997,239.978,283.824,263.369,220.297,85.482,87.141,10.4,351.618,309.92400000000004,333.776,215.58999999999997,100.462,227.56900000000002,171.555,10.4,104.625,81.512,286.939,328.469,Pass
1968,331.031,94.235,10.4,10.4,34.211,10.4,10.4,10.4,10.4,79.21700000000001,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,100.218,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,Dropout
1969,1554.302,104.827,68.41399999999999,139.63099999999997,102.033,159.54899999999998,10.4,153.954,109.925,46.641999999999996,102.796,121.77600000000001,148.279,127.31200000000001,43.604,91.38000000000001,10.4,10.4,350.563,123.129,70.314,10.4,10.4,41.691,10.4,10.4,113.249,10.4,41.292,257.979,Pass
1970,2373.772,106.271,100.48599999999999,250.507,90.764,123.015,10.4,93.27199999999999,228.24699999999999,143.363,139.238,121.36500000000001,65.481,61.986999999999995,110.666,66.217,53.88399999999999,10.4,271.9,89.86200000000001,99.89,65.512,86.253,75.88499999999999,46.461,10.4,41.842,54.992000000000004,73.572,384.25,Pass
1971,1233.6999999999998,63.393,61.543000000000006,119.68799999999999,71.31400000000001,106.95899999999999,10.4,25.162,120.23599999999999,10.4,72.43299999999999,10.4,69.59100000000001,98.37,105.346,49.584,10.4,10.4,180.612,10.4,48.356,10.4,21.808999999999997,10.4,10.4,10.4,46.44200000000001,37.684000000000005,57.66,287.033,Pass
1972,135.85399999999998,66.042,69.017,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,122.853,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,Dropout
1973,1294.443,88.154,66.79299999999999,10.4,118.99000000000001,10.4,10.4,124.13799999999998,4.322000000000001,-12.982999999999999,-13.008000000000001,-10.033000000000003,75.947,51.966,23.277,0.04199999999999804,3.0169999999999995,10.4,50.048,47.213,79.829,29.415,36.535,27.137,10.4,10.4,44.33,45.742000000000004,49.142,272.38,Pass
1974,60.81700000000001,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,Dropout
1975,115.56,58.99300000000001,68.36800000000001,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,Dropout
