code_etudiant;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
64;935.509;25.992;25.5;25.664;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.828;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
65;88.793;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
66;493.606;25.5;25.664;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;26.32;25.5;25.5;25.664;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
67;5734.71;19.945;19.289;19.781;19.125;19.125;19.125;19.125;19.125;19.289;19.125;19.125;19.289;19.125;19.125;19.289;19.125;19.125;21.749;19.125;19.125;19.289;19.125;19.125;19.125;19.125;19.453;19.125;19.125;19.617
68;3116.4629999999997;19.453;19.289;20.929;19.125;19.125;19.125;19.125;19.125;19.453;19.125;19.617;19.453;19.617;19.453;19.453;19.289;19.125;21.913;19.125;19.453;19.945;20.601;21.093;19.617;19.125;20.109;19.781;19.453;20.273
69;364.29600000000005;25.992;25.664;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;26.812;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
70;125.38600000000001;19.289;19.289;19.289;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.945;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125
71;493.23400000000004;19.289;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.453;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125
72;1254.2939999999999;19.781;19.453;19.945;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.781;19.125;19.125;19.125;24.537;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125
73;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
74;568.264;25.5;25.828;25.828;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.664;25.664;25.664;25.5;25.5;25.5;25.5;30.584;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
75;545.102;25.664;25.664;25.664;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.992;25.828;25.5;25.5;25.5;25.5;30.42;25.5;25.5;25.5;25.828;25.5;25.5;25.5;25.5;25.5;25.5;25.664
76;25.664;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
77;349.339;19.125;19.617;20.109;19.125;19.125;19.125;19.125;19.125;19.289;19.125;19.289;19.617;19.125;19.125;19.125;19.125;19.125;19.289;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125
78;549.463;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.664;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
79;43.694;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
80;393.02200000000005;26.648;25.5;25.992;25.5;25.5;25.5;25.5;25.5;25.664;25.5;26.812;25.828;25.664;25.5;25.5;25.5;25.5;27.632;25.5;25.5;25.5;25.664;25.5;25.5;25.5;25.5;25.5;25.5;25.5
81;38.239999999999995;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.828;25.5;25.5;25.992;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
82;1085.1799999999998;25.992;26.484;25.992;25.5;25.5;25.5;25.5;25.5;25.828;25.5;25.664;25.664;25.5;25.664;25.664;25.5;25.5;28.616;25.5;25.5;25.5;27.14;25.5;25.5;25.5;25.5;25.5;25.5;25.664
